club,Matches_Played,W,D,L,Goals,+/-,Pts
SD Eibar,5,4,1,0,9:2,7,13
Granada CF ,5,4,1,0,12:1,11,13
Burgos CF,5,3,2,0,5:0,5,11
Alavés ,5,3,2,0,7:3,4,11
UD Las Palmas,5,3,2,0,5:0,5,11
Sporting Gijón,5,3,1,1,9:5,4,10
SD Huesca,5,3,1,1,8:4,4,10
Villarreal CF B ,5,2,3,0,10:5,5,9
FC Andorra ,4,3,0,1,6:2,4,9
CD Tenerife,5,2,3,0,6:3,3,9
CD Leganés,5,2,1,2,5:5,0,7
UD Ibiza,5,2,1,2,6:7,-1,7
Levante ,5,2,1,2,6:3,3,7
FC Cartagena,5,2,1,2,7:7,0,7
CD Mirandés,6,1,3,2,8:9,-1,6
Albacete ,5,1,3,1,4:4,0,6
Real Zaragoza,5,1,3,1,3:3,0,6
Ponferradina,5,1,2,2,6:8,-2,5
Racing ,5,1,2,2,1:3,-2,5
CD Lugo,5,1,1,3,3:5,-2,4
Real Oviedo,6,1,1,4,3:7,-4,4
Málaga CF,4,0,2,2,2:7,-5,2
